timestamp,source_ip,destination_ip,protocol,bytes_sent,bytes_received,duration,packet_rate,content_type,user_type,activity_label,anomaly_type,Label
2025-07-17 12:17:05.229488,192.168.1.125,10.0.0.181,TCP,1311,1583,35.82,60.65,lecture,teacher,submit_assignment,Normal,0
2025-07-17 12:49:12.229488,192.168.1.172,10.0.0.215,TCP,1987,1327,38.41,78.04,video,teacher,discussion,Normal,0
2025-07-17 12:47:38.229488,192.168.1.113,10.0.0.105,UDP,6223,5099,42.82,73.55,chat,teacher,discussion,Normal,0
2025-07-17 12:16:27.229488,192.168.1.46,10.0.0.202,WebRTC,2534,3375,18.46,95.06,chat,teacher,discussion,Normal,0
2025-07-17 12:35:53.229488,192.168.1.137,10.0.0.105,UDP,2233,1006,36.56,40.81,quiz,admin,stream,DDoS,1
2025-07-17 12:46:30.229488,192.168.1.126,10.0.0.177,HTTP,1895,3388,5.64,67.83,chat,learner,stream,Malware Injection,1
2025-07-17 12:19:49.229488,192.168.1.36,10.0.0.147,HTTP,7403,7673,19.74,37.43,video,learner,stream,Normal,0
2025-07-17 13:06:37.229488,192.168.1.25,10.0.0.217,UDP,3124,7010,31.66,53.39,lecture,teacher,submit_assignment,Normal,0
2025-07-17 11:59:28.229488,192.168.1.242,10.0.0.170,UDP,5417,4992,37.81,46.84,video,admin,submit_assignment,Malware Injection,1
2025-07-17 12:17:30.229488,192.168.1.74,10.0.0.94,HTTPS,8434,2623,7.56,53.41,chat,teacher,discussion,Normal,0
2025-07-17 12:00:09.229488,192.168.1.2,10.0.0.74,HTTPS,1029,3070,55.59,59.05,lecture,teacher,discussion,Normal,0
2025-07-17 12:03:12.229488,192.168.1.118,10.0.0.209,WebRTC,4210,4377,40.25,36.6,video,teacher,submit_assignment,Malware Injection,1
2025-07-17 12:16:54.229488,192.168.1.37,10.0.0.126,HTTPS,3463,1855,46.83,91.98,video,admin,discussion,Normal,0
2025-07-17 12:48:54.229488,192.168.1.182,10.0.0.116,UDP,2893,5012,2.52,54.6,lecture,admin,login,Normal,0
